citation,year,model_type,mutations,multiple_stimuli,electrophysiology_features,protocol_optimization,heldout_evaluation,ai_transformations,software_availability,distinction_from_neurosem,closeness_1to5,kind,doi,url,verification_method,found_via,evidence_file
"Madeyski L, Orzeszyna W, Torkar R, et al. (2014). Overcoming the Equivalent Mutant Problem: A Systematic Literature Review and a Comparative Experiment of Second Order Mutation. IEEE Transactions on Software Engineering 40(1):23-42.",2014,general software (Java programs under mutation testing); systematic literature review plus controlled experiment,"yes - compares first-order mutation with four second-order mutation strategies, measuring how many generated mutants are equivalent.",no - software test suites kill mutants; no stimulation protocols or dynamical-system inputs.,"no - no electrophysiology; outcomes are mutant counts, kill status, runtime and manual classification effort.",no - compares mutation-generation strategies; no selection or minimisation of a test or protocol battery reported in the abstract.,no - abstract reports no discovery/held-out split of programs or fault families.,no - no AI-generated or AI-assisted code transformations.,none (abstract names a JudyDiffOp strategy; no tool URL retrieved),"Provides the detect/suggest/avoid taxonomy for equivalent mutants. NeuroSem instead labels behavioural equivalence empirically for NeuroML neuron models via an exhaustive stimulation battery with refinement-calibrated tolerances, without claiming proof of equivalence.",2,paper,10.1109/tse.2013.44,https://doi.org/10.1109/tse.2013.44,"Crossref /works/10.1109/tse.2013.44 (title, 4 authors, TSE 40(1) 23-42, 2014-01); OpenAlex W2097599402 abstract.",completeness critic r2,deepread_r2_b1.json
"Meliza CD, Kostuk M, Huang H, et al. (2014). Estimating parameters and predicting membrane voltages with conductance-based neuron models. Biological Cybernetics, 108(4), 495-516.",2014,single-compartment Hodgkin-Huxley conductance model of zebra finch HVC neurons fitted to slice recordings,no; variational data assimilation estimates parameters; no seeded model faults.,"partial; fits on one 1,500 ms complex current waveform, then compares predictions under novel injected currents.",unclear; the abstract reports voltage prediction only; full text is closed access and was not read.,unclear; the abstract mentions a complex waveform; the input's claimed stimulus-design criteria were not verifiable from accessible text.,"partial; models are tested on novel injected currents (held-out stimuli), not held-out models or fault families.",no; no AI-assisted edits are involved.,none identified (full text closed access),"Builds and validates models against recordings using held-out currents. NeuroSem compares a reference model with its edited version, using calibrated tolerances and a selected protocol battery to find behavioural drift.",2,paper,10.1007/s00422-014-0615-5,https://pubmed.ncbi.nlm.nih.gov/24962080/,"Crossref works API (authors, venue, volume/issue/pages, 2014); Europe PMC core record with PMID 24962080 and abstract; OpenAlex (closed access, no repository full text); Springer landing page (abstract only).",WebSearch data assimilation Abarbanel query; PubMed esummary,deepread_r1_b40.json
"NeuroML organisation (2014). pyNeuroML [software; GitHub repository; latest release v1.3.22 on PyPI and Zenodo, 2026]. GitHub.",2014,"NeuroML2/LEMS cell and network models (tooling for reading, writing, simulating, analysing)",no: no mutation operators or fault injection in README or analysis module,partial: generate_current_vs_frequency_curve simulates a cell over a range of injected current amplitudes (F-I and subthreshold traces),"partial: approximate firing rates, threshold current and spike times (via pyelectro); not a broad standardised feature library like eFEL","no: tuning extra (Neurotune) optimises model parameters, not stimulation protocols","no: tooling, no evaluation of a detection method",no: no AI-driven model transformations,"pyNeuroML https://github.com/NeuroML/pyNeuroML (LGPL-3.0 per GitHub API; PyPI pyNeuroML 1.3.22, LGPL-3.0-only)","Execution and analysis substrate NeuroSem would reuse: current-step sweeps, and analyse_spiketime_vs_dt compares spike times across timesteps, a primitive for refinement-based tolerance calibration. NeuroSem adds reference-versus-transformed fingerprint comparison, mutant generation, frozen tolerances, battery selection and held-out evaluation.",2,software,10.5281/zenodo.5744044,https://github.com/NeuroML/pyNeuroML,"GitHub REST API repos/NeuroML/pyNeuroML (created 2014-12-10, last push 2026-07-31, LGPL-3.0); README via GitHub API; pyneuroml/analysis/__init__.py via GitHub contents API (function names and docstrings); PyPI JSON pypi.org/pypi/pyNeuroML/json (v1.3.22, first release 0.0.9 on 2015-07-27); DataCite api.datacite.org/dois/10.5281/zenodo.5744044 (Zenodo 'NeuroML/pyNeuroML: v1.3.22', 2026, LGPL-3.0); Zenodo API returned 504","Google Scholar query '""pyNeuroML""' returned no articles; repository metadata via GitHub REST API (license LGPL-3.0)",deepread_r1_b9.json
"Omar C, Aldrich J, Gerkin RC (2014). Collaborative infrastructure for test-driven scientific model validation. Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014), pp. 524-527.",2014,general scientific models (worked example uses planetary-motion models); framework-level paper,"no - 4-page paper describes validation tests, capabilities and scores; no fault seeding or mutants.",no - tests compare model predictions with observations; no stimulation protocols.,no - no neuroscience features in the paper; domain libraries are envisioned separately.,no - not addressed.,no - no held-out evaluation; compares many models against a shared test suite.,no - not addressed.,SciUnit https://github.com/scidash/sciunit (MIT per GitHub API; PyPI sciunit 0.2.8),"Brings unit-testing ideas to validating models against empirical data, scoring goodness of fit. NeuroSem instead tests behaviour preservation between a reference model and its transformed version, adding mutation-calibrated sensitivity and protocol selection. SciUnit could serve as a test harness but does not anticipate the method.",2,paper,10.1145/2591062.2591129,https://doi.org/10.1145/2591062.2591129,"Crossref api.crossref.org/works/10.1145/2591062.2591129 (3 authors, ICSE Companion, ACM, pp. 524-527, 2014-05-31); OpenAlex works/doi abstract; full-text PDF read from link in scidash/sciunit README (github.com/cyrus-/papers/.../sciunit-icse14.pdf); GitHub REST API scidash/sciunit; PyPI JSON sciunit.","Crossref title query 'Collaborative infrastructure for test-driven scientific model validation' (after Scholar '""SciUnit"" test-driven scientific model validation'); metadata verified via Crossref api.crossref.org/works | WebSearch site:dl.acm.org SciUnit OR NeuronUnit; WebSearch site:dblp.org exact title; verified via Crossref | SciUnit README links the ICSE 2014 conference paper; DOI via Crossref bibliographic query, verified via Crossref works API | OpenAlex search; Semantic Scholar citations (45) and OpenCitations citations (29) used as snowball seed | WebSearch SciUnit query; Crossref title query; software https://github.com/scidash/sciunit (PyPI sciunit 0.2.8, MIT) | Crossref 'SciUnit framework test-driven scientific model validation'; verified via Crossref; repo scidash/sciunit MIT per GitHub API",deepread_r1_b0.json
OpenSourceBrain [GitHub organization; individual authors unverified] (2014). AllenInstituteNeuroML: example files to test interaction between models developed at the Allen Brain Institute and NeuroML. GitHub.,2014,"Allen Cell Types Database models: biophysical NEURON cells and GLIF point neurons, converted to NeuroML2/LEMS",no; no seeded faults; tests compare converted or re-run models against expected spike times.,"partial; current-clamp sweeps from Allen data and voltage-ramp channel analyses exist, but each OMV test uses one sweep.",partial; threshold spike times in OMV tests; a script plots NeuroML vs MOD channel time constants for manual comparison.,no.,no.,no.,"AllenInstituteNeuroML https://github.com/OpenSourceBrain/AllenInstituteNeuroML (LICENSE file: MIT for OSB code, Allen-derived content excluded; GitHub reports NOASSERTION); OMV engines NEURON, jNeuroML, jNeuroML_NEURON, jNeuroML_NetPyNE","Conversion regression across simulators on spike times plus manual channel-kinetics plots; also a possible fixture source (Allen content licensing needs checking). NeuroSem adds systematic feature fingerprints, calibrated tolerances, mutants, protocol selection and holdouts.",2,software,,https://github.com/OpenSourceBrain/AllenInstituteNeuroML,"GitHub REST API (metadata, license endpoint, recursive tree via gh api); raw README.md, LICENSE, CITATION.md, compare_nml2_mods.py, .omt/.mep files, omv-ci.yml and non-omv.yml workflows. Zenodo DOI badge unverified (HTTP 504).",GitHub search org:OpenSourceBrain test,deepread_r1_b32.json
borismarin (2014). HH model with OSB model validation [GitHub repository hh-testing]. GitHub.,2014,"Classical Hodgkin-Huxley single-compartment model implemented in LEMS/NeuroML2, NEURON and GENESIS",no: fixed implementations checked against expected values; no fault injection,"partial: hh.mep defines two experiments, one 500 ms current-clamp step and one endogenous resting condition","partial: expected spike times (threshold detection, tolerance 0.5 in the NEURON test file), resting potential, area and temperature",no: experiments are hand-specified,no: single model; no split,no: not addressed,"hh-testing, https://github.com/borismarin/hh-testing (uses OSB model validation, https://github.com/borismarin/osb-model-validation); no license per GitHub API","Small cross-simulator consistency check against one canonical step with a hand-set tolerance, essentially NeuroSem's canonical baseline. NeuroSem adds a multi-protocol battery, refinement-calibrated tolerances, mutants, selection and held-out evaluation.",2,software,,https://github.com/borismarin/hh-testing,"GitHub REST API repos/borismarin/hh-testing (description, created 2014-04-14, last push 2017-04-05, license null); README.md, .travis.yml (OMV_ENGINE jNeuroML, NEURON, genesis), hh.mep and NEURON/hh.nrn.omt read via raw.githubusercontent.com. Individual authors unverified; LEMS/GENESIS test files not read.",GitHub search LEMS test,deepread_r1_b30.json
"Daly AC, Gavaghan DJ, Holmes C, et al. (2015). Hodgkin-Huxley revisited: reparametrization and identifiability analysis of the classic action potential model with approximate Bayesian methods. Royal Society Open Science.",2015,"Hodgkin-Huxley conductance-based single-compartment action potential model (CellML, run via Chaste functional curation), framed for cardiac cell modelling","no - parameter sets are sampled from ABC posteriors; no deliberate single-fault edits, although posterior variants act like parameter perturbations.","partial - fitted to voltage-clamp data, then posterior models run under four more complex Hodgkin-Huxley voltage protocols and a current-clamp test.",partial - RMSE distance between simulated and reference traces; no eFEL-style spike features.,no - protocols come from the original 1952 experiments; the paper only suggests richer protocols could constrain parameters.,partial - posterior models examined on protocols not used for fitting; no held-out models or fault families.,no - no AI-assisted model edits studied.,"Chaste HodgkinHuxleyABC paper tutorial, https://chaste.github.io/docs/paper-tutorials/ (the paper's chaste.cs.ox.ac.uk trac URL now redirects there)","Parameter inference and identifiability, not change detection. NeuroSem would add single-fault mutants, current-clamp feature batteries, refinement-calibrated tolerances, protocol selection and held-out evaluation.",2,paper,10.1098/rsos.150499,https://doi.org/10.1098/rsos.150499,"Crossref API (10.1098/rsos.150499); Europe PMC REST (PMID 27019736) and PMC4807457 full-text XML (methods, code availability); Chaste paper-tutorials page fetched",PubMed E-utilities 'ICGenealogy OR ion channel genealogy' | WebSearch Groenendaal query; WebSearch Semantic Scholar-style query; Crossref,deepread_r1_b20.json
"Fountas, Z., & Shanahan, M. (2015). GPU-based fast parameter optimization for phenomenological spiking neural models. 2015 International Joint Conference on Neural Networks (IJCNN), 1-8.",2015,phenomenological spiking neuron model (Izhikevich equations) fitted to thalamic relay cell data; GPU simulation via NeMo,no - parameter fitting to data; no controlled single-fault mutants.,yes - fitting combines several frequency-current and voltage-current relations of the neuron.,partial - uses f-I and V-I relations and physiological properties; not a standardised feature library like eFEL.,"no - optimises model parameters, not the selection of stimulation protocols.","partial - model predicted firing patterns of known traces not used in training; single cell, not held-out models.",no - no AI-generated model edits.,unverified - abstract mentions a Python toolbox built on the NeMo simulator; no public repository located (GitHub search returned none),"Multi-relation fitting of one phenomenological model with held-out trace checks. NeuroSem would compare a reference against transformed models, calibrate tolerances, use mutants, and optimise the protocol battery itself.",2,paper (conference),10.1109/ijcnn.2015.7280668,https://doi.org/10.1109/ijcnn.2015.7280668,"Crossref api.crossref.org/works/10.1109/ijcnn.2015.7280668 (2 authors, pp 1-8, issued 2015-07); OpenAlex W1632366792 (abstract); Semantic Scholar batch API (DBLP conf/ijcnn/FountasS15, closed). GitHub REST search (gh api) for 'fountas izhikevich' returned 0 repositories. Full text not accessed.",WebSearch site:ieeexplore.ieee.org feature-based optimization neuron model electrophysiology features multiple stimuli validation; verified via Crossref,deepread_r1_b27.json
"Glatard T, Lewis LB, Ferreira da Silva R, et al. (2015). Reproducibility of neuroimaging analyses across operating systems. Frontiers in Neuroinformatics 9.",2015,"Neuroimaging pipelines (FSL, Freesurfer, CIVET) across GNU/Linux versions; not neuron models.","no - Varies operating system environment, not seeded model faults.","partial - Several analysis types and subjects, not stimulation protocols.","no - Imaging outputs (Dice, cortical thickness, ICA).",no - None.,no - None.,no - None.,none,"Shows platform changes cause hidden output drift in neuroscience software. NeuroSem targets drift from edits to neuron models, detected with electrophysiology protocols.",2,paper,10.3389/fninf.2015.00012,https://doi.org/10.3389/fninf.2015.00012,"Crossref /works (metadata, 12 authors); OpenAlex (abstract).",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b0.json
"Groenendaal W, Ortega FA, Kherlopian AR, et al. (2015). Cell-Specific Cardiac Electrophysiology Models. PLOS Computational Biology 11(4):e1004242.",2015,conductance-based guinea-pig ventricular myocyte action-potential ODE model (cardiac),"no - genetic-algorithm parameter fitting with computational feasibility check; GA mutation is an optimiser operator, not model faults.",yes - stochastic current-clamp pacing combined with multi-step voltage clamp; adding voltage clamp improved some conductance estimates.,partial - fitting error on action-potential and current traces; no standardized feature-extraction library evident in text reviewed.,partial - hand-designed protocol combination argued to improve identifiability; no algorithmic protocol selection.,partial - assesses prediction of dynamics not used in fitting (e.g. voltage-clamp-only fits predicting stochastic pacing); no held-out model set.,no - no AI-assisted transformations.,none released identified; RTXI (rtxi.org) used for acquisition per paper,"Uses dynamically rich multi-protocol data to fit cell-specific models. NeuroSem would use multi-protocol batteries to detect behavioural drift between model versions, with seeded faults, frozen tolerances, greedy selection and held-out evaluation.",2,paper,10.1371/journal.pcbi.1004242,https://doi.org/10.1371/journal.pcbi.1004242,Crossref works API (10.1371/journal.pcbi.1004242) and Crossref bibliographic query; Europe PMC core record and full-text XML (PMC4415772); input Semantic Scholar ID not confirmed (API 429),WebSearch Groenendaal identifiability query (Semantic Scholar page URL); Crossref title query did not match,deepread_r1_b38.json
"Open Brain Institute; Blue Brain Project/EPFL (2015). eFEL: Electrophys Feature Extraction Library. GitHub repository openbraininstitute/eFEL (predecessor BlueBrain/eFEL, archived); PyPI efel 5.7.34.",2015,voltage traces from in vitro recordings and in silico neuron models (feature-extraction library),no: feature-extraction code; no model mutation facilities in README.,partial: processes traces with stimulus start/end windows; does not generate or manage stimulation protocols.,"yes: extracts user-selected features such as AP amplitude, voltage_base; configurable spike threshold setting.",no: no protocol selection functionality.,no: not applicable to a library; no held-out evaluation.,no: none.,"eFEL https://github.com/openbraininstitute/eFEL (LICENSE.txt: LGPL, examples/tests BSD; GitHub API NOASSERTION; PyPI efel 5.7.34 LGPLv3 uploaded 2026-08-25; BlueBrain/eFEL archived)","Same component as the eFEL paper row; relevant for version pinning and provenance (active repo moved, old one archived). NeuroSem only consumes its features.",2,software,,https://github.com/openbraininstitute/eFEL,"GitHub REST API repos/openbraininstitute/eFEL (created 2025-01-13, last push 2026-08-25) and repos/BlueBrain/eFEL (created 2015-05-06, archived); raw README.md and LICENSE.txt; PyPI JSON API efel.",GitHub REST API: api.github.com/repos/BlueBrain/eFEL (archived=true) and api.github.com/repos/openbraininstitute/eFEL (license reported NOASSERTION),deepread_r1_b10.json
"Papadakis M, Jia Y, Harman M, et al. (2015). Trivial Compiler Equivalence: A Large Scale Empirical Study of a Simple, Fast and Effective Equivalent Mutant Detection Technique. 2015 IEEE/ACM 37th IEEE International Conference on Software Engineering (ICSE), pp. 936-946.",2015,general software (C programs: 6 large open-source programs and 18 benchmark programs),"yes - applies mutation operators and uses compiler technology to discard equivalent and duplicated mutants, checked against hand-analysed equivalents.",no - no stimulation protocols; equivalence screening is compiler-based rather than execution-based per the abstract.,no - no electrophysiology or dynamical-output features.,no - screens mutants; does not select a compact test or protocol battery.,no - empirical study over program sets; no discovery/held-out split reported in the abstract.,no - no AI-generated transformations.,none (technique relies on existing compilers; no tool URL retrieved),"TCE is a cheap static screen that catches only part of equivalent mutants. NeuroSem could add an analogous structural pre-screen, but its equivalence labels come from executing a finite neuron-model stimulation battery.",2,paper,10.1109/icse.2015.103,https://doi.org/10.1109/icse.2015.103,"Crossref /works/10.1109/icse.2015.103 (title, 4 authors incl. Le Traon, ICSE 2015 pp. 936-946); OpenAlex W4238681179 abstract.",completeness critic r2,deepread_r2_b1.json
"Qi Z, Long F, Achour S, et al. (2015). An analysis of patch plausibility and correctness for generate-and-validate patch generation systems. Proceedings of the 2015 International Symposium on Software Testing and Analysis (ISSTA 2015), pp. 24-36.",2015,general software (C programs; automated program repair),"partial - analyses automatically generated patches (program modifications), not controlled seeded faults.","no - validation test suites, not stimuli.",no - none.,no - none.,"partial - checks reported patches for correctness beyond the validation suite, exposing weak test oracles.","partial - automated (search-based, not ML/LLM) program transformations.",Kali (described in paper; URL not retrieved),"Shows weak test suites accept incorrect automated changes. NeuroSem aims to build a stronger protocol battery for judging model transformations, including optional AI-assisted ones, in neuron models.",2,paper,10.1145/2771783.2771791,https://doi.org/10.1145/2771783.2771791,"Crossref /works/10.1145/2771783.2771791 (title, 4 authors, ISSTA 2015 pp 24-36); OpenAlex abstract (W2153881107).",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b1.json
"Smith EK, Barr ET, Le Goues C, et al. (2015). Is the cure worse than the disease? Overfitting in automated program repair. Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering (ESEC/FSE), pp. 532-543.",2015,C programs from a bug benchmark with human-written patches.,"no - Evaluates automated repairs of real bugs, not seeded mutations.",partial - Uses separate independent test suites beyond the repair tests.,no - None.,no - None.,yes - Core design evaluates patches on tests independent of those used during repair.,"partial - Automated repair tools (GenProg, TrpAutoRepair) transform programs; not LLM-based.",none,"Shows edits passing one test set can break untested behaviour, which parallels NeuroSem's premise. NeuroSem applies this to neuron models with electrophysiology protocols and battery selection.",2,paper,10.1145/2786805.2786825,https://doi.org/10.1145/2786805.2786825,"Crossref /works (metadata, fourth author Yuriy Brun); OpenAlex (abstract).",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b0.json
"Belli F, Budnik CJ, Hollmann A, et al. (2016). Model-based mutation testing - Approach and case studies. Science of Computer Programming, 120, 25-48.",2016,"General software engineering: graph-based system models (directed graphs, event sequence graphs, FSMs, statecharts) of industrial systems",yes: elementary insertion and omission mutation operators applied to models to create mutants,partial: test cases (event sequences) generated from mutated models; no electrical stimulation,no: not neuroscience; pass/fail on system behaviour,partial: tests generated from mutants and compared by fault-revealing ability between operator types; no budgeted greedy selection described in abstract,partial: fault detection assessed on real released systems in three case studies; no held-out model or mutation-family split,no: none,none,Generic model-level mutation testing background. NeuroSem mutates biophysical NeuroML models and measures continuous electrophysiology features against calibrated tolerances.,2,paper,10.1016/j.scico.2016.01.003,https://www.sciencedirect.com/science/article/pii/S0167642316000137,"Crossref API work record (authors, volume 120, pages 25-48); OpenAlex API (abstract, author diacritics); Semantic Scholar Graph API (abstract, open-access CC BY status)",WebSearch Simulink mutation query; Crossref title query,deepread_r1_b39.json
"Ding, J., & Hu, X.-H. (2016). Application of metamorphic testing monitored by test adequacy in a Monte Carlo simulation program. Software Quality Journal, 25(3), 841-869.",2016,"Monte Carlo photon-propagation simulation in turbid tissue phantoms (biomedical optics), plus a confocal image-processing program","yes - metamorphic testing adequacy is measured with program coverage, mutation testing, and mutation tests of metamorphic relations.","partial - multiple metamorphic relations and related test inputs; optical simulation inputs, not electrical stimulation protocols.","no - outputs are reflectance images and 3D cell structure, not electrophysiology features.",partial - adequacy results iteratively guide relation development and test generation; no compact cost-bounded selection described in abstract.,no - abstract reports case-study effectiveness only; no held-out programs or held-out mutation family described.,no - abstract does not address AI-generated transformations.,none,"Nearest in batch: mutation-guided test adequacy for biomedical simulation. NeuroSem would add neuron eFEL fingerprints, refinement-calibrated tolerances, greedy protocol selection, and held-out model/fault-family evaluation against baselines.",2,"paper (journal, method + case study)",10.1007/s11219-016-9337-3,https://doi.org/10.1007/s11219-016-9337-3,"Crossref api.crossref.org/works/10.1007/s11219-016-9337-3 (2 authors, vol 25(3) pp 841-869, issued/online 2016-09-14, print 2017-09); Springer landing page link.springer.com/article/10.1007/s11219-016-9337-3 (abstract); Semantic Scholar Graph API (abstract elided by publisher; TLDR, DBLP id DingH17); Unpaywall (closed). Full text not accessed.",WebSearch 'metamorphic testing scientific simulation software systematic review'; metadata verified via Crossref api.crossref.org/works,deepread_r1_b13.json
"Jatana, N., Suri, B., Kumar, P., et al. (2016). Test Suite Reduction by Mutation Testing Mapped to Set Cover Problem. Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies, 1-6.",2016,"general software programs (Triangle, Quadratic, TCAS subject programs); not a scientific or neuron model",yes - program mutants define which test cases are needed; reduction preserves mutant-kill coverage (per abstract).,"partial - test cases are program inputs, loosely analogous to protocols; no electrical stimulation.",no - software output checking only.,"yes - test-suite reduction cast as set cover and solved greedily, a direct precedent for greedy protocol selection.","unclear - abstract reports only a preliminary evaluation on three programs; full text not accessed, no held-out split described.",no - no AI-generated edits.,none,"Greedy mutant-coverage set cover is established precedent and cannot be claimed. NeuroSem would apply it to stimulation protocols on NeuroML neuron models, with refinement-calibrated feature tolerances, admissible-mutant classification, and held-out models, a held-out mutation family, and cost-matched random baselines.",2,paper,10.1145/2905055.2905094,https://doi.org/10.1145/2905055.2905094,"Crossref works API (title, authors, container, 2016-03-04, pages 1-6); OpenAlex work W2514273129 abstract. DBLP API returned a bot-check page (blocked); ACM full text not accessed.",Crossref bibliographic query (test suite minimization greedy set cover mutation); verified via Crossref works API,deepread_r1_b34.json
"JustasB, GitHub user; the CNS2016 slide filename names Birgiolas (2016). MitralSuite: Objective validation of olfactory bulb mitral cell models with NeuroElectro data using NeuronUnit. GitHub repository JustasB/MitralSuite.",2016,"8 published multicompartment conductance-based mitral cell models in NEURON (e.g. Bhalla & Bower 1993, Migliore 2014)",no - compares published models against experimental data; no seeded faults.,"partial - square current injections at a few test-specific amplitudes (rest, passive, AP, threshold); no ramps or rebound.","yes - six NeuronUnit tests: resting potential, input resistance, time constant, AP width, threshold, amplitude.",no - stimuli are fixed per test.,no - scores all models against pooled NeuroElectro observations (z-scores); no discovery/held-out split.,no - none.,"MitralSuite https://github.com/JustasB/MitralSuite (depends on SciUnit/NeuronUnit, NEURON); MIT per GitHub API","Validates models against experimental data. NeuroSem instead compares a reference model with its edited version, using calibrated tolerances, seeded mutants and a selected protocol battery.",2,software,,https://github.com/JustasB/MitralSuite,"GitHub REST API repo record (created 2016-05-20, MIT); README; repository tree and helpers.py (setupTests test list) plus GetResultsSummary.ipynb via gh api; GitHub web page (WebFetch) for the model list.",GitHub search neuronunit,deepread_r1_b33.json
"Krogh-Madsen T, Sobie EA, Christini DJ (2016). Improving cardiomyocyte model fidelity and utility via dynamic electrophysiology protocols and optimization algorithms. The Journal of Physiology 594(9):2525-2536.",2016,cardiac myocyte ionic (conductance-based) cell models; review,no - reviews parameter estimation for cardiac models; no deliberate fault injection to evaluate detection.,yes - central theme is using more complex electrophysiology protocols beyond standard voltage-clamp steps.,"partial - discusses matching model output to recorded electrophysiology data; cardiac, and not eFEL-style feature fingerprints.","partial - reviews protocols designed to be informative for parameter identification, not greedy selection of a detection battery.",no - review article; no held-out model or mutation-family evaluation described in abstract.,no - not discussed.,none,"Shares the idea that richer stimulation protocols reveal more about an excitable-cell model, but aims at parameter identifiability in cardiac fitting. NeuroSem targets detecting behavior-changing edits in neuron models via mutation-calibrated protocol selection.",2,paper,10.1113/jp270618,https://doi.org/10.1113/jp270618,"Crossref /works/<doi> (authors, 2016 issue, volume, pages); OpenAlex abstract (OpenAlex lists 2015, reconciled to Crossref 2016 online/print dates). Full text not accessed.",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b2.json
"Nogaret A, Meliza CD, Margoliash D, et al. (2016). Automatic Construction of Predictive Neuron Models through Large Scale Assimilation of Electrophysiological Data. Scientific Reports, 6, 32749.",2016,nine-ion-channel single-compartment conductance model of zebra finch HVC neurons fitted to recordings,no; parameters are estimated by IPOPT constrained optimisation; no seeded faults.,"yes; 20-50 current protocols per neuron, mixing Lorenz-chaotic waveforms with steps, plus step-only protocols.",no; objective is least-squares voltage misfit and validation predicts voltage traces; no feature extraction found in the scanned text.,"partial; waveforms are designed with the bandwidth to constrain time constants, but no subset of protocols is algorithmically selected.",partial; completed models predict responses to protocols outside the assimilation window; no held-out models or fault families.,no; no AI-assisted edits are involved.,none released identified; uses IPOPT with Sympy-derived derivatives,Designs broadband currents to fit parameters from data and checks prediction on other protocols. NeuroSem selects a small protocol battery that exposes differences between a reference model and single-fault edits.,2,paper,10.1038/srep32749,https://www.nature.com/articles/srep32749,"Crossref works API (authors, venue, volume, article number, abstract); nature.com open-access full text (protocol design, IPOPT methods).",WebSearch data assimilation Abarbanel query; Crossref,deepread_r1_b40.json
OpenSourceBrain [GitHub organization; individual authors unverified] (2016). PyNNShowcase: a repository for testing interactions/conversions between NeuroML & PyNN. GitHub.,2016,Izhikevich and simple point-neuron/small network examples in NeuroML2/LEMS and PyNN,no; no fault injection; OMV tests only check that each engine reproduces expected spike times.,"partial; a few example scenarios (current input, spike sources, connections), each test fixed to one scenario.",partial; only threshold-detected spike times compared with expected lists in OMV .mep files under a numeric tolerance.,no; scenarios are hand-written examples.,"no; continuous-integration regression tests, no evaluation split.",no.,PyNNShowcase https://github.com/OpenSourceBrain/PyNNShowcase (no license file detected); tests run with OMV https://github.com/OpenSourceBrain/osb-model-validation,"Cross-engine conversion regression (jNeuroML, NEURON, NEST, Brian2 via PyNN) on stored spike times; a form of translation-equivalence checking. NeuroSem adds multi-protocol feature fingerprints, refinement-calibrated tolerances, mutant sensitivity, protocol selection and holdouts.",2,software,,https://github.com/OpenSourceBrain/PyNNShowcase,"GitHub REST API (repo metadata, recursive tree, contributors via gh api); raw README.md, NeuroML2 and PyNN .omt/.mep files, .github/workflows/omv-ci.yml.",GitHub search org:OpenSourceBrain test,deepread_r1_b32.json
"Pill, I., Rubil, I., Wotawa, F., et al. (2016). SIMULTATE: A Toolset for Fault Injection and Mutation Testing of Simulink Models. 2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW), pp. 168-173.",2016,Simulink block-diagram models (automotive / safety-critical embedded control; executable dynamical system models),"yes - toolset injects faults and derives mutants via built-in and user-defined operators, scoped to chosen model parts, with per-fault activation control.",unclear - abstract describes running mutation tests but not input stimulus design; full text closed access.,no - general Simulink signals; no neuroscience or electrophysiological features.,"no - abstract describes mutant generation and test-execution tooling, not selection or optimization of test inputs.",no - tool paper; abstract reports no held-out model or held-out operator evaluation.,no - no AI or LLM-generated transformations mentioned.,SIMULTATE (abstract describes it as open source; public repository not located via GitHub search API - URL unverified),"Precedent for mutating executable dynamical models outside neuroscience. NeuroSem would add NeuroML/LEMS operators, eFEL features across current-clamp protocols, refinement-calibrated tolerances, protocol selection and held-out evaluation.",2,paper,10.1109/ICSTW.2016.21,https://doi.org/10.1109/ICSTW.2016.21,"Crossref works API (title, authors, container, pages 168-173, 2016); OpenAlex works API (abstract via inverted index); Semantic Scholar Graph API (DBLP id conf/icst/PillRWN16; abstract elided, closed access). IEEE Xplore WebFetch returned empty. GitHub REST search for 'simultate' found no matching repository.",Semantic Scholar Graph API search 'NeuroML mutation testing' (via WebFetch); metadata verified via Crossref api.crossref.org/works/10.1109/ICSTW.2016.21,deepread_r1_b15.json
"Roehm H, Oehlerking J, Woehrle M, et al. (2016). Reachset Conformance Testing of Hybrid Automata. Proceedings of HSCC 2016, pp. 277-286.",2016,hybrid automata / cyber-physical system models (autonomous driving example),no - tests conformance of an abstraction to an implementation; no mutants described in abstract.,"partial - multiple test cases over inputs for a dynamical system, not electrophysiology protocols.","no - reachable-set conformance, not feature extraction.",yes - coverage-based test selection algorithm reduces the number of conformance test cases.,no - single autonomous-driving example.,no - not discussed.,none identified,"Combines conformance of dynamical models with tunable accuracy and coverage-based test reduction, close in spirit. NeuroSem differs in neuron models, mutation-calibrated detection, eFEL fingerprints and held-out generalization evaluation.",2,paper,10.1145/2883817.2883828,https://doi.org/10.1145/2883817.2883828,"Crossref /works/<doi> (authors, proceedings, pages); OpenAlex abstract. Full text not accessed.",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b2.json
