rank,title,authors,year,doi,doi_verification,publisher_or_archival_url,full_text_inspected,models_or_systems_studied,transformation_testing,controlled_mutation_testing,multiple_stimulation_protocols,electrophysiological_features,protocol_or_test_suite_optimisation,heldout_generalisation,coding_agent_involvement,overlap_with_neuraxis,remaining_distinction,closeness_1to5_from_novelty_matrix,evidence_file
11,Reproducible model development in the cardiac electrophysiology Web Lab,Aidan C. Daly; Michael Clerx; Kylie A. Beattie; Jonathan Cooper; David J. Gavaghan; Gary R. Mirams,2018,10.1016/j.pbiomolbio.2018.05.011,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Progress in Biophysics and Molecular Biology 139: 3-14 (Elsevier); OA at PMC6288479,yes - PMC full-text XML read in prior deep read,"Cardiac cell and ion-channel models (CellML), hERG fitting",partial - model versions compared for reproducible development,no,yes - shared protocol collection across models,partial - cardiac outputs,partial - protocol design named as a planned capability,no,no,Names continuous model testing and protocol design as next steps for protocol-battery infrastructure,"Planned features only; no mutants, tolerances, battery selection or held-out evaluation",3,deepread_r1_b2.json
12,"Model-driven optimal experimental design for calibrating cardiac electrophysiology models (published 2023, Computer Methods and Programs in Biomedicine 240:107690, doi:10.1016/j.cmpb.2023.107690)",Chon Lok Lei; Michael Clerx; David J. Gavaghan; Gary R. Mirams,2022 (preprint); 2023 (journal),10.1101/2022.11.01.514669,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),bioRxiv preprint (openRxiv); journal version Elsevier,yes - bioRxiv full-text PDF methods read in prior deep read,Cardiac action-potential ODE models (O'Hara 2011 and others),no,"partial - conductance scalings for identifiability, not faults",yes - 12 voltage-clamp and 6 current-clamp optimised protocols vs benchmarks,partial - mostly whole traces; biomarker inference also tested,"yes - A-, D-, E*-optimal design",partial - designs assessed on other AP models,no,Algorithmic current-clamp protocol design for AP models with transfer to other models,"Goal is parameter identifiability; continuous design; no edits, false-alarm control or held-out fault family",3,deepread_r1_b7.json
13,Pareto efficient multi-objective black-box test case selection for simulation-based testing,Aitor Arrieta; Shuai Wang; Urtzi Markiegi; Ainhoa Arruabarrena; Leire Etxeberria; Goiuria Sagardui,2019,10.1016/j.infsof.2019.06.009,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Information and Software Technology 114: 137-154 (Elsevier),yes - green OA author manuscript read in prior deep read,Six Simulink CPS models (one industrial),no,partial - mutants used only to evaluate selected suites,yes - pools of 120-150 input-signal tests,partial - output anti-pattern measures,yes - NSGA-II selection trading effectiveness against simulation time,partial - mutation score independent of selection objectives,no,"Cost-aware test selection for expensive simulations, validated with mutants","Selects on surrogate objectives; same subject models; no domain protocols, calibrated tolerances or held-out families",3,deepread_r1_b6.json
14,What Not to Test (For Cyber-Physical Systems),Xiao Ling; Tim Menzies,2023,10.1109/tse.2023.3272309,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),IEEE Transactions on Software Engineering 49(7): 3811-3826 (IEEE),yes - arXiv full text read in prior deep read,Six Simulink CPS models with reused mutants,no,yes - reused Simulink mutants,yes - candidate input signals,partial - signal-derived goals,yes - DoLesS minimal effective subset,no,no,Mutation-guided minimal test selection over simulated signals,"No neuron models, calibrated tolerances, admissible-edit controls or held-out models/families",3,deepread_r1_b26.json
15,Automated test suite generation for time-continuous simulink models,Reza Matinnejad; Shiva Nejati; Lionel C. Briand; Thomas Bruckmann,2016,10.1145/2884781.2884797,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"Proceedings of ICSE 2016, pp. 595-606 (ACM)",yes - OA technical-report version (ORBilu) read in prior deep read; not the ACM version,Time-continuous Simulink controller models,no,yes - 104 single-fault model versions from fault patterns,yes - suites of 3/5/10 input signals,partial - signal-shape features for diversity,yes - whole-suite search for output diversity,no,no,Small fault-revealing input suites for continuous models with seeded faults,"Fault-agnostic search, per-model evaluation; no neuroscience protocols, calibrated tolerances or held-out split",3,deepread_r1_b3.json
16,Mutation Sensitivity Testing,Daniel Hook; Diane Kelly,2009,10.1109/mcse.2009.200,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Computing in Science & Engineering 11(6): 40-47 (IEEE),no - Crossref metadata and abstract only,Numerical scientific software without exact oracles,no,yes - code mutants to measure test-set sensitivity,partial - sets of test inputs,no,partial - argues few well-designed tests suffice (abstract),no,no,Mutant-based test sensitivity with output tolerances in scientific code,"Generic code; no neuron models, protocols, selection or held-out evaluation",3,deepread_r2x_b1.json
17,Investigating test selection techniques for scientific software using Hook's mutation sensitivity testing,Rob Gray; Diane Kelly,2010,10.1016/j.procs.2010.04.165,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Procedia Computer Science 1(1): 1487-1494 (Elsevier),no - PDF blocked; abstract only,Mutated numerical functions (general scientific software),no,yes - reanalysis of Hook's mutation experiments,partial - many test inputs per function,no,partial - compares random vs hand-picked selection by mutant detection,unclear,no,Mutation-driven comparison of test selection strategies with a random baseline,"Generic functions; no neuron models, protocols, calibrated tolerances or frozen held-out split",3,deepread_r1_b7.json
18,Examining random and designed tests to detect code mistakes in scientific software,Diane Kelly; Robert Gray; Yizhen Shao,2011,10.1016/j.jocs.2010.12.002,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Journal of Computational Science 2(1): 47-56 (Elsevier),no - abstract/summary only,General scientific software,no,partial - seeded code mistakes,partial - random vs designed inputs,no,partial - compares selection strategies and tolerance levels,unclear,no,Finds output tolerance matters as much as test count,"No neuron models, refinement-calibrated tolerances or battery selection",3,deepread_r2x_b1.json
19,Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation,Jiawei Liu; Chunqiu Steven Xia; Yuyao Wang; Lingming Zhang,2023,10.52202/075280-0943,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Advances in Neural Information Processing Systems 36 (NeurIPS Foundation),yes - arXiv HTML full text read in prior deep read,LLM-generated Python functions (HumanEval/MBPP),no - generation from specifications,partial - mutants of ground-truth programs used for suite reduction,yes - greatly expanded test inputs,no,"yes - greedy set cover over coverage, killed mutants and LLM-sample kills",partial - per-LLM cross-validation mentioned in tool README,yes - evaluates LLM-generated code,Shows thin tests let wrong AI code pass; greedy mutant-kill set cover,"General code; no neuron models, protocols, calibrated tolerances or held-out mutation family",3,deepread_r1_b42.json
20,Metamorphic relation prioritization for effective regression testing,Madhusudan Srinivasan; Upulee Kanewala,2022,10.1002/stvr.1807,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"Software Testing, Verification and Reliability 32(3): e1807 (Wiley)",yes - arXiv full text read in prior deep read,"BBMap, Weka IBk, LingPipe",yes - regression testing setting,"yes - muJava, PIT, Major mutants",partial - metamorphic relations as a test battery,no,yes - greedy fault-based ordering vs random and optimal,"partial - ordering derived on one tool's mutants, evaluated on another tool's",no,Greedy fault-based ordering with an independent mutant set: a generic analogue of Neuraxis selection and transfer,"No neuron models, stimulation protocols, calibrated tolerances or held-out subject programs",3,deepread_r1_b29.json
21,Reproducing and quantitatively validating a biologically-constrained point-neuron model of CA1 pyramidal cells,Shailesh Appukuttan; Andrew P. Davison,2022,10.3389/fnint.2022.1041423,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Frontiers in Integrative Neuroscience 16: 1041423 (Frontiers),yes - PMC full-text XML read in prior deep read,Izhikevich-type CA1 point neurons reimplemented in Brian2 and NEURON,yes - reimplementations compared quantitatively,no,"yes - step ranges, hyperpolarising steps, I-V test",yes - eFEL via eFELunit,no,no,no,Uses eFEL-based SciUnit tests to expose cross-simulator reimplementation discrepancies,"Manual reimplementation of one model; no mutants, calibrated tolerances, selection or held-out split",3,deepread_r1_b2.json
22,Signal Feature Coverage and Testing for CPS Dataflow Models,Ezio Bartocci; Leonardo Mariani; Dejan Nickovic; Drishti Yadav,2025,10.1145/3714467,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),ACM Transactions on Software Engineering and Methodology 34(7): 1-37 (ACM),yes - OA version of record (BOA Milano-Bicocca) read in prior deep read,Five Simulink CPS models,no,"yes - FIM fault injection, seven operators",yes - generated input signals,partial - ten generic signal features,partial - search for signal-feature coverage in a time budget,no,no,Signal features plus mutation scoring of generated test suites,"Coverage-driven generation, not selection from a detection matrix; no neuroscience, tolerances or held-out split",3,deepread_r1_b6.json
23,Search-based mutation testing for Simulink models,Yuan Zhan; John A. Clark,2005,10.1145/1068009.1068188,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"Proceedings of GECCO 2005, pp. 1061-1068 (ACM)",no - closed access; abstract only,Simulink dataflow models,no,yes - mutants of Simulink models,yes - searched input data,no,partial - search for mutant-killing inputs,unclear,no,Early search for mutant-killing inputs on dynamical models,"No protocol library, features, calibrated tolerances or held-out evaluation",3,deepread_r1_b5.json
24,Mutation-Based Test Case Generation for Simulink Models,Angelo Brillout; Nannan He; Michele Mazzucchi; Daniel Kroening; Mitra Purandare; Philipp Rümmer; Georg Weissenbacher,2010,10.1007/978-3-642-17071-3_11,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"Formal Methods for Components and Objects, LNCS, pp. 208-227 (Springer)",yes - author-hosted PDF read in prior deep read,"Simulink models translated to C, bounded model checking",no,yes - single syntactic mutations and injected faults,partial - generated input vectors,no,yes - small suites maximising mutations covered per test,no - evaluation left as future work,no,Mutant-killing test generation aiming for small suites,"Formal, discrete setting; no simulation-based features, tolerances or held-out evaluation",3,deepread_r1_b8.json
25,Testing Causality in Scientific Modelling Software,Andrew G. Clark; Michael Foster; Benedikt Prifling; Neil Walkinshaw; Robert M. Hierons; Volker Schmidt; Robert D. Turner,2023,10.1145/3607184,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),ACM Transactions on Software Engineering and Methodology 33(1): 1-42 (ACM),yes - accepted manuscript read in prior deep read,"Poisson line tessellation, Luo-Rudy 1991 cardiac AP model, Covasim",no,no,partial - input interventions via metamorphic relations,partial - APD90 for the cardiac case,no,no,no,Metamorphic/causal testing of scientific simulators including a cardiac AP model,"No mutants, stimulus batteries, calibrated tolerances, selection or held-out evaluation",3,deepread_r1_b5.json
26,Poster: NeuroCERT: Executable Testing for Oracle-Limited Biophysical Network Simulation,Seungyoun Lee; Hyun Jae Jang; Jae-Ho Han,2026,10.1109/ICST69053.2026.00050,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST), pp. 324-327 (IEEE)",no - closed access; abstract only,Stochastic biophysical spiking network (one case study),partial - batch-level stochastic regression criteria (abstract),unclear,unclear,partial - unspecified output criteria,no,no,no,Regression testing of neuroscience simulations with weak oracles,"Network-level, stochastic; no stated mutants, protocols, selection or held-out evaluation (abstract only)",3,deepread_r1_b3.json
27,Kaizen: Metamorphic Fuzzing and Differential Testing for LLM-Translated HPC Applications,Oscar Ludwig; Ninad Anklesaria; Zheming Jin; et al. (10 authors),2026,10.48550/arXiv.2607.04058,DataCite record found and title matched; doi.org redirects to publisher (2026-09-16),arXiv preprint arXiv:2607.04058 (arXiv),yes - arXiv HTML full text read in prior deep read,16 HeCBench HPC apps translated CUDA to OpenMP; LIF neuron kernel as motivating example,yes - differential testing of LLM translations,partial - semantics-preserving source mutations,partial - fuzzed runtime inputs,no,partial - coverage-guided input prioritisation,partial - prompt engineered on held-out apps,yes - LLM code translation is the subject,Code that passes tests yet gives wrong scientific output after AI translation,"General HPC code; no neuron models, electrophysiology protocols, calibrated tolerances or battery selection",3,deepread_r2_b0.json
28,A semantic mutation metric for metamorphic relation adequacy in scientific computing programs,Meng Li; Xiaohua Yang; Jie Liu; Shiyu Yan,2026,10.48550/arXiv.2605.17437,DataCite record found and title matched; doi.org redirects to publisher (2026-09-16),arXiv preprint arXiv:2605.17437 (arXiv),no - arXiv abstract page only,12 single-output scientific computing programs,no,yes - five domain-semantic mutation operators,partial - metamorphic relations,no,no,unclear,partial - some mutants LLM-generated,Domain-semantic mutants to judge test adequacy in scientific code,"No neuron models, fingerprints, tolerance calibration or protocol selection",3,deepread_r2x_b0.json
29,Your Simulation Runs but Solves the Wrong Physics: PDE-Grounded Intent Verification for LLM-Generated Multiphysics Simulation Code,Zhenghan Song; Yulong Liu; Cheng Wan; Chenjun Li; Lingfu Liu; Yunyi Li; Congcong Yuan,2026,10.48550/arxiv.2605.09360,DataCite record found and title matched; doi.org redirects to publisher (2026-09-16),arXiv preprint arXiv:2605.09360 (arXiv),yes - arXiv HTML full text read in prior deep read,MOOSE multiphysics input files; static checks on other PDE DSLs,partial - checks LLM-generated code against intended PDE,partial - 30 perturbation pairs to validate the metric,no,no,no,partial - cross-DSL and cross-model transfer,yes - code generated and repaired by several LLMs,Executable simulation code can be scientifically wrong; AI-generated code,"Structural PDE check, not behavioural multi-protocol testing; no neuron models or selection",3,deepread_r1_b9.json
30,The NeuroML ecosystem for standardized multi-scale modeling in neuroscience,Ankur Sinha; Padraig Gleeson; Bóris Marin; et al. (11 authors),2025,10.7554/eLife.95135,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),eLife 13: RP95135 (eLife Sciences Publications); OA at PMC11723582,"no - only the ""Validating NeuroML models"" section was read (this pass and prior deep read)",NeuroML v2/LEMS ecosystem,partial - describes OMV consistency checks across simulators and versions,no,unclear,partial - OMV output checks; NeuronUnit for biological validation,no,no,no,"Describes the validation cascade (schema, LEMS, OMV, SciUnit) Neuraxis builds on","Descriptive; no mutants, fingerprints, selection or held-out evaluation",2,deepread_r1_b0.json
31,eFEL: electrophysiology feature extraction library,Darshan Mandge; Anıl Tuncel; Aurélien Jaquier; Ilkan Kilic; Tanguy Damart; Henry Markram; Werner Van Geit; Rajnish Ranjan,2026,10.1093/bioinformatics/btag328,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Bioinformatics 42(6): btag328 (Oxford University Press); software https://github.com/openbraininstitute/eFEL,no - full-text keyword scan only,Voltage traces from recordings and models (library),no,no,partial - accepts any stimulus; does not design protocols,yes - over 90 standardised features,no,no,no,Feature extractor Neuraxis reuses,Component only; no testing method,2,deepread_r1_b10.json
32,BluePyOpt: Leveraging Open Source Software and Cloud Infrastructure to Optimise Model Parameters in Neuroscience,Werner Van Geit; Michael Gevaert; Giuseppe Chindemi; et al. (9 authors),2016,10.3389/fninf.2016.00017,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Frontiers in Neuroinformatics 10 (Frontiers),no - abstract plus full-text keyword scan only,Conductance-based neuron models (parameter optimisation framework),no,no,yes - protocol objects with stimuli and recordings,yes - eFEL-based objectives,no - optimises parameters for fixed protocols,no,no,Shared protocol and eFEL feature infrastructure (feature-based validation style),"Fits models to data; no edit detection, mutants or protocol selection",2,deepread_r1_b10.json
33,"Regression testing minimization, selection and prioritization: a survey",S. Yoo; M. Harman,2012,10.1002/stvr.430,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"Software Testing, Verification and Reliability 22(2): 67-120 (Wiley)",no - abstract only,General software (survey),yes - regression testing,unclear,no,no,"yes - surveys minimisation, selection, prioritisation",no,no,Established test-suite minimisation and selection that Neuraxis must not claim,Generic; Neuraxis applies selection to simulated protocol detections of neuron-model edits,2,deepread_r1_b12.json
34,Mutation Testing Advances: An Analysis and Survey,Mike Papadakis; Marinos Kintis; Jie Zhang; et al. (authors per ORBilu record; Crossref lists none),2019,10.1016/bs.adcom.2018.03.015,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),"Advances in Computers, pp. 275-378 (Elsevier), book chapter",no - abstract only,General software (survey),no,yes - survey of mutation testing,no,no,unclear,no,no,Established mutation-testing practice Neuraxis must not claim,Generic; Neuraxis adapts mutation analysis to NeuroML neuron models,2,deepread_r2_b1.json
35,A Survey on Metamorphic Testing,Sergio Segura; Gordon Fraser; Ana B. Sanchez; Antonio Ruiz-Cortes,2016,10.1109/tse.2016.2532875,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),IEEE Transactions on Software Engineering 42(9): 805-824 (IEEE),yes - full text from idUS repository read in prior deep read,General software incl. simulation and bioinformatics (survey),"no - input transformations, not model transformations",partial - surveys mutant-based evaluation of relations,partial - sets of metamorphic relations,no,partial - names relation prioritisation as open challenge,no,no,"Established metamorphic testing, including for scientific software",Generic; no electrophysiology or held-out evaluation,2,deepread_r1_b24.json
36,Testing scientific software: A systematic literature review,Upulee Kanewala; James M. Bieman,2014,10.1016/j.infsof.2014.05.006,Crossref record found and title matched; doi.org redirects to publisher (2026-09-16),Information and Software Technology 56(10): 1219-1232 (Elsevier); OA at PMC4128280,no - full-text keyword scan only,Scientific software across domains (review of 62 studies),partial - discusses regression against prior outputs,no,partial - metamorphic testing discussed,no,no,no,no,Frames the oracle and tolerance problems Neuraxis addresses,Review only; no concrete method for neuron models,2,deepread_r1_b13.json
